Site.no,PCTID,PCTAssignmentCategory,ElevationInMeters,annualRainfallInMillimeters,annualMeanTemperatureInCelsius,CharacteristicSpeciesComparisonSet
NAM-015,3250,Primary,260.22,1728.29,15.53,Wet Sclerophyll Forests (Grassy sub-formation)
NAM-022,3250,Primary,246.99,1686.36,17.32,Wet Sclerophyll Forests (Grassy sub-formation)
NAM-027,3250,Primary,235.59,1566.48,17.87,Wet Sclerophyll Forests (Grassy sub-formation)
NAM-047,3250,Primary,33.11,1286.71,18.22,Wet Sclerophyll Forests (Grassy sub-formation)
NAM-050,3250,Primary,50.48,1309.15,18.06,Wet Sclerophyll Forests (Grassy sub-formation)
NAM-051,3250,Primary,56.05,1290.77,18.13,Wet Sclerophyll Forests (Grassy sub-formation)
NAM-054,3250,Primary,42.96,1269.01,18.16,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1046,3250,Primary,28.35,1282.8,18.69,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1047,3250,Primary,53.89,1262.55,18.51,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1050,3250,Secondary,148.33,1484.75,17.88,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1083,3250,Primary,51.87,1350.72,18.65,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1090,3250,Primary,366.47,1604.83,15.87,Wet Sclerophyll Forests (Grassy sub-formation)
NEF4014,3250,Primary,137.91,1292.35,17.46,Wet Sclerophyll Forests (Grassy sub-formation)
NEF4031,3250,Primary,76.51,1502.24,16.96,Wet Sclerophyll Forests (Grassy sub-formation)
NEF5085,3250,Primary,12.46,1406.42,18.29,Wet Sclerophyll Forests (Grassy sub-formation)
NEF5093,3250,Primary,504.02,1409.91,14.86,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6000,3250,Primary,39.54,1287.19,17.09,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6002,3250,Primary,44.12,1302.63,16.98,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6004,3250,Primary,30.81,1274.12,17.03,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6007,3250,Primary,40.76,1464.76,17.25,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6010,3250,Primary,175.43,1617.64,16.42,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6011,3250,Primary,173.02,1593.6,16.6,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6084,3250,Primary,469.3,1853.91,15.53,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6090,3250,Primary,48.7,1434.7,16.25,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6093,3250,Primary,39.62,1360.56,16.68,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6103,3250,Primary,20.87,1276.69,17.1,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6106,3250,Primary,32.55,1480.08,17.15,Wet Sclerophyll Forests (Grassy sub-formation)
N_CM218,3250,Secondary,40.11,1292.89,17.9,Wet Sclerophyll Forests (Grassy sub-formation)
N_CM235,3250,Secondary,28.99,1254.33,18.23,Wet Sclerophyll Forests (Grassy sub-formation)
N_CM243,3250,Secondary,9.1,1275.17,18.36,Wet Sclerophyll Forests (Grassy sub-formation)
N_CM265,3250,Primary,33.94,1280.55,18.19,Wet Sclerophyll Forests (Grassy sub-formation)
NRAC716,3250,Secondary,232.51,1115.16,17.5,Wet Sclerophyll Forests (Grassy sub-formation)
NRAC806,3250,Primary,1.59,1567.82,18.58,Wet Sclerophyll Forests (Grassy sub-formation)
NRAC809,3250,Primary,4.66,1569.31,18.57,Wet Sclerophyll Forests (Grassy sub-formation)
29_001_2,3250,Primary,17.28,1304.03,16.99,Wet Sclerophyll Forests (Grassy sub-formation)
29_001_3,3250,Primary,18.08,1303.42,16.99,Wet Sclerophyll Forests (Grassy sub-formation)
38_001_1,3250,Primary,40.63,1280.85,16.96,Wet Sclerophyll Forests (Grassy sub-formation)
WLS56P2L,3250,Primary,114.37,1019.18,17.32,Wet Sclerophyll Forests (Grassy sub-formation)
GSF32N6C,3250,Primary,128.8,1316.6,16.37,Wet Sclerophyll Forests (Grassy sub-formation)
MRS12N6L,3250,Primary,186.46,1122.95,16.46,Wet Sclerophyll Forests (Grassy sub-formation)
KRH28Q8F,3250,Primary,38.12,1145.59,17.06,Wet Sclerophyll Forests (Grassy sub-formation)
STF03,3250,Primary,8.16,1489.17,18.65,Wet Sclerophyll Forests (Grassy sub-formation)
WING0376,3250,Primary,449.95,1165.53,16.01,Wet Sclerophyll Forests (Grassy sub-formation)
GRA00309,3250,Primary,567.89,1246.36,15.26,Wet Sclerophyll Forests (Grassy sub-formation)
NDUBB2.3,3250,Primary,563.23,1415.3,14.66,Wet Sclerophyll Forests (Grassy sub-formation)
PUWAY004,3250,Secondary,252.11,1560.28,17.2,Wet Sclerophyll Forests (Grassy sub-formation)
CLY12P4L,3250,Primary,17.09,1234.96,18.19,Wet Sclerophyll Forests (Grassy sub-formation)
MSB02F0F,3250,Primary,19.8,1464.04,18.25,Wet Sclerophyll Forests (Grassy sub-formation)
RRK02F7S,3250,Primary,54.43,1397.73,18.63,Wet Sclerophyll Forests (Grassy sub-formation)
RRK07F3S,3250,Primary,23.33,1391.09,18.69,Wet Sclerophyll Forests (Grassy sub-formation)
TCB06F3L,3250,Primary,47.26,1324.4,18.57,Wet Sclerophyll Forests (Grassy sub-formation)
WLG08F1S,3250,Primary,19.11,1537.42,18.59,Wet Sclerophyll Forests (Grassy sub-formation)
WLSG1N7U,3250,Primary,291.08,1038.95,17.16,Wet Sclerophyll Forests (Grassy sub-formation)
FAMERP07,3250,Primary,18.88,1330.81,16.51,Wet Sclerophyll Forests (Grassy sub-formation)
COSS31,3250,Primary,108.07,1288.19,16.93,Wet Sclerophyll Forests (Grassy sub-formation)
YBNP08,3250,Primary,260.95,1778.77,16.26,Wet Sclerophyll Forests (Grassy sub-formation)
YBNP16,3250,Primary,201.4,1593.8,17.15,Wet Sclerophyll Forests (Grassy sub-formation)
YBNP30,3250,Primary,80.23,1479.42,17.69,Wet Sclerophyll Forests (Grassy sub-formation)
YUR152,3250,Primary,72.29,1448.23,18.6,Wet Sclerophyll Forests (Grassy sub-formation)
GFSCMEX1,3251,Primary,716.28,1181.37,14.88,Wet Sclerophyll Forests (Grassy sub-formation)
GFSCMIN2,3251,Primary,603.41,1029.61,15.51,Wet Sclerophyll Forests (Grassy sub-formation)
GJSWML,3251,Primary,561.35,972.97,16.13,Wet Sclerophyll Forests (Grassy sub-formation)
PADWMEX1,3251,Primary,605.46,1094.94,15.55,Wet Sclerophyll Forests (Grassy sub-formation)
PADWMIN6,3251,Primary,561.25,1085.08,15.61,Wet Sclerophyll Forests (Grassy sub-formation)
PADWWEX3,3251,Primary,518.52,1211.69,15.62,Wet Sclerophyll Forests (Grassy sub-formation)
PADWWIN1,3251,Primary,648.55,1110.8,15.99,Wet Sclerophyll Forests (Grassy sub-formation)
PADWWIN2,3251,Primary,544.01,1265.08,14.86,Wet Sclerophyll Forests (Grassy sub-formation)
PAVVWWI3,3251,Primary,217.89,1214.68,17.3,Wet Sclerophyll Forests (Grassy sub-formation)
PAVVWWI4,3251,Primary,227.39,1222.73,17.25,Wet Sclerophyll Forests (Grassy sub-formation)
PAVVWWS1,3251,Primary,195.35,1207.51,17.36,Wet Sclerophyll Forests (Grassy sub-formation)
PAVWDSH2,3251,Primary,293.38,1119.01,16.36,Wet Sclerophyll Forests (Grassy sub-formation)
PAVWMEX1,3251,Primary,577.04,1039.53,15.52,Wet Sclerophyll Forests (Grassy sub-formation)
PAVWMSH1,3251,Primary,638.49,1067.52,15.4,Wet Sclerophyll Forests (Grassy sub-formation)
TADVWEX2,3251,Primary,357.07,1741.21,17.28,Wet Sclerophyll Forests (Grassy sub-formation)
TERGIL1,3251,Secondary,625.58,1020.69,15.46,Wet Sclerophyll Forests (Grassy sub-formation)
TRHYOUT2,3251,Primary,292.04,1412.19,18.05,Wet Sclerophyll Forests (Grassy sub-formation)
TSCRRMG6,3251,Primary,658.67,1148.61,13.86,Wet Sclerophyll Forests (Grassy sub-formation)
ALUMMTN2,3251,Secondary,206.28,1351.67,16.47,Wet Sclerophyll Forests (Grassy sub-formation)
BAR45,3251,Primary,403.23,1371.15,15.74,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00012,3251,Primary,138.12,1268.51,17.33,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00014,3251,Primary,145.62,1324.6,17.07,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00016,3251,Primary,196.66,1167,17.54,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00018,3251,Primary,290.46,1225.46,17.21,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00024,3251,Primary,350.46,1304.86,16.85,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00025,3251,Primary,415.38,1336.74,16.73,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00026,3251,Primary,384.38,1362.89,16.62,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00035,3251,Primary,464.87,1581.75,15.88,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00038,3251,Primary,181.42,1293.97,17.2,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00041,3251,Primary,574.99,1744.48,14.95,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00046,3251,Primary,416.48,1343.35,16.7,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00047,3251,Primary,421.58,1421.33,16.33,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00048,3251,Primary,495.87,1576.84,15.54,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00052,3251,Primary,454.62,1704.16,15.02,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00057,3251,Primary,139.32,1263.18,17.32,Wet Sclerophyll Forests (Grassy sub-formation)
BOO00060,3251,Primary,134.57,1303.42,17.15,Wet Sclerophyll Forests (Grassy sub-formation)
NCBIL006,3251,Primary,733.13,1138.38,14.05,Wet Sclerophyll Forests (Grassy sub-formation)
NCEWI003,3251,Primary,688.58,1310.22,14.56,Wet Sclerophyll Forests (Grassy sub-formation)
NCWAS003,3251,Secondary,441.19,1164.66,16.04,Wet Sclerophyll Forests (Grassy sub-formation)
A1_37,3251,Secondary,635.64,1036.85,15.15,Wet Sclerophyll Forests (Grassy sub-formation)
A1_38,3251,Secondary,602.32,1057.96,15.21,Wet Sclerophyll Forests (Grassy sub-formation)
A1_40,3251,Secondary,619.69,1153.16,14.42,Wet Sclerophyll Forests (Grassy sub-formation)
NCABAR37,3251,Primary,505.93,1347.94,16.13,Wet Sclerophyll Forests (Grassy sub-formation)
NDCHA056,3251,Primary,428.81,1143.29,15.05,Wet Sclerophyll Forests (Grassy sub-formation)
NDCHA057,3251,Primary,552.49,1248.53,13.69,Wet Sclerophyll Forests (Grassy sub-formation)
NDCHA060,3251,Primary,751.75,1194.37,13.96,Wet Sclerophyll Forests (Grassy sub-formation)
NDCHA061,3251,Primary,816.51,1237.91,13.47,Wet Sclerophyll Forests (Grassy sub-formation)
NDCHA063,3251,Primary,628.53,1185.79,14.54,Wet Sclerophyll Forests (Grassy sub-formation)
NDLSG1.3,3251,Primary,514.7,1128.01,14.74,Wet Sclerophyll Forests (Grassy sub-formation)
NDLSG4.3,3251,Primary,564.19,1104.23,14.42,Wet Sclerophyll Forests (Grassy sub-formation)
NDUDH1.3,3251,Primary,599.88,1194.53,14.3,Wet Sclerophyll Forests (Grassy sub-formation)
NDUDH4.3,3251,Primary,700.85,1197.2,14.08,Wet Sclerophyll Forests (Grassy sub-formation)
NDUDH5.3,3251,Primary,415.4,1144.05,16.15,Wet Sclerophyll Forests (Grassy sub-formation)
NDUDH6.3,3251,Primary,487.45,1195.95,14.32,Wet Sclerophyll Forests (Grassy sub-formation)
NDUDH7.3,3251,Primary,784.38,1254.69,13.61,Wet Sclerophyll Forests (Grassy sub-formation)
NDUDH8.3,3251,Primary,721.39,1251.15,13.71,Wet Sclerophyll Forests (Grassy sub-formation)
NDUSG1.3,3251,Primary,519.84,1153.12,14.9,Wet Sclerophyll Forests (Grassy sub-formation)
NDUSG2.3,3251,Primary,580.11,1145.64,14.42,Wet Sclerophyll Forests (Grassy sub-formation)
NDUSG3.2,3251,Primary,652.91,1163.97,14.17,Wet Sclerophyll Forests (Grassy sub-formation)
LNE07063,3251,Primary,376.66,1344.63,16.84,Wet Sclerophyll Forests (Grassy sub-formation)
UNE05017,3251,Secondary,233.42,1117,17.54,Wet Sclerophyll Forests (Grassy sub-formation)
UNE05025,3251,Primary,602.98,1195.69,16.24,Wet Sclerophyll Forests (Grassy sub-formation)
UNE05055,3251,Primary,448.36,1251.18,16.73,Wet Sclerophyll Forests (Grassy sub-formation)
UNE05056,3251,Secondary,506.74,974.23,16.4,Wet Sclerophyll Forests (Grassy sub-formation)
UNE05057,3251,Primary,416.45,1021.16,16.89,Wet Sclerophyll Forests (Grassy sub-formation)
UNE05072,3251,Primary,290.35,1064.12,16.83,Wet Sclerophyll Forests (Grassy sub-formation)
UNE05073,3251,Primary,389.48,1003.61,16.8,Wet Sclerophyll Forests (Grassy sub-formation)
UNE05081,3251,Primary,519.75,943.97,15.43,Wet Sclerophyll Forests (Grassy sub-formation)
UNE05082,3251,Primary,304.97,1083.54,16.11,Wet Sclerophyll Forests (Grassy sub-formation)
UNE08002,3251,Primary,583.82,1185.82,15.81,Wet Sclerophyll Forests (Grassy sub-formation)
UNE08003,3251,Secondary,547.84,997.99,16.17,Wet Sclerophyll Forests (Grassy sub-formation)
UNE08004,3251,Primary,386.52,945.69,16.8,Wet Sclerophyll Forests (Grassy sub-formation)
UNE08008,3251,Primary,422.26,1069.39,15.78,Wet Sclerophyll Forests (Grassy sub-formation)
UNE08009,3251,Secondary,280.56,1006.66,16.16,Wet Sclerophyll Forests (Grassy sub-formation)
UNE08010,3251,Primary,465.5,1233.7,15.27,Wet Sclerophyll Forests (Grassy sub-formation)
UNE08043,3251,Primary,706.5,1091.65,13.63,Wet Sclerophyll Forests (Grassy sub-formation)
UNE08048,3251,Primary,413.02,1014.91,15.51,Wet Sclerophyll Forests (Grassy sub-formation)
UNE08067,3251,Primary,204.73,1243.07,16.94,Wet Sclerophyll Forests (Grassy sub-formation)
UNE08073,3251,Primary,384.9,1410.56,16.74,Wet Sclerophyll Forests (Grassy sub-formation)
UNE08074,3251,Primary,399.17,1439.19,16.61,Wet Sclerophyll Forests (Grassy sub-formation)
UNE12016,3251,Primary,492.75,1143.32,15.37,Wet Sclerophyll Forests (Grassy sub-formation)
DOR03,3251,Primary,31.27,1292.48,18.19,Wet Sclerophyll Forests (Grassy sub-formation)
UNE13045,3251,Primary,823.16,983.54,13.17,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14001,3251,Primary,500.35,1403.07,14.52,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14011,3251,Primary,544.95,1419.55,14.77,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14015,3251,Primary,594.43,1466.04,14.63,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14022,3251,Primary,456.68,1366.43,15.58,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14023,3251,Primary,464.73,1345.54,15.85,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14024,3251,Primary,453,1404.57,15.18,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14025,3251,Primary,274.79,1305.39,16.3,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14026,3251,Primary,376.27,1324.73,16.12,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14028,3251,Primary,388.01,1366.27,15.69,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14029,3251,Primary,385.06,1291.67,16.45,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14030,3251,Primary,372.57,1354.42,15.75,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14031,3251,Primary,396.14,1356.34,15.71,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14032,3251,Primary,436.32,1375.5,15.25,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14033,3251,Primary,310.9,1313.34,16.05,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14034,3251,Primary,238,1275.87,16.46,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14035,3251,Primary,278.57,1271.59,16.3,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14040,3251,Primary,506.97,1262.78,14.5,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14044,3251,Primary,627.53,1211.43,14.79,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14054,3251,Primary,424.04,1226.65,15.13,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14055,3251,Primary,357.97,1221.03,15.21,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14056,3251,Primary,447.09,1188.01,14.93,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14057,3251,Primary,592.57,1150.16,15.46,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14058,3251,Primary,648.27,1224.63,13.53,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14059,3251,Primary,685.25,1193.68,13.72,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14060,3251,Primary,706.29,1187.35,13.6,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14061,3251,Primary,697.26,1148.66,14.04,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14062,3251,Primary,591.11,1153.02,13.99,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14063,3251,Primary,580,1138.96,14.27,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14064,3251,Primary,612.66,1131.56,14.27,Wet Sclerophyll Forests (Grassy sub-formation)
UNE14066,3251,Secondary,315,1153.79,16.05,Wet Sclerophyll Forests (Grassy sub-formation)
WNPFF53,3251,Primary,477.84,963.86,15.67,Wet Sclerophyll Forests (Grassy sub-formation)
10693G2,3251,Primary,207.72,1375.45,17.87,Wet Sclerophyll Forests (Grassy sub-formation)
BDW06D5M,3251,Primary,196.12,1375.59,16.7,Wet Sclerophyll Forests (Grassy sub-formation)
KNB06P4C,3251,Primary,79.19,1332.64,17.79,Wet Sclerophyll Forests (Grassy sub-formation)
AFT14J2U,3251,Primary,309.07,1218.62,17.32,Wet Sclerophyll Forests (Grassy sub-formation)
BYG03J3L,3251,Primary,147.87,1167.98,17.79,Wet Sclerophyll Forests (Grassy sub-formation)
CLD01J2S,3251,Primary,91.4,1123.26,17.78,Wet Sclerophyll Forests (Grassy sub-formation)
CNH03I4U,3251,Secondary,311.21,1240.5,16.31,Wet Sclerophyll Forests (Grassy sub-formation)
CPE15R4U,3251,Primary,290.76,1074.26,17.24,Wet Sclerophyll Forests (Grassy sub-formation)
JCK06I3U,3251,Primary,295.64,1198.19,16.02,Wet Sclerophyll Forests (Grassy sub-formation)
JCK08I4S,3251,Secondary,264.15,1181.07,16.97,Wet Sclerophyll Forests (Grassy sub-formation)
PRG05F8M,3251,Primary,196.45,994.47,17.69,Wet Sclerophyll Forests (Grassy sub-formation)
DOF39110,3251,Primary,496.67,1170.54,15.87,Wet Sclerophyll Forests (Grassy sub-formation)
DOF39111,3251,Primary,386.7,1216.77,14.84,Wet Sclerophyll Forests (Grassy sub-formation)
DOF39124,3251,Primary,519.09,1178.54,15.54,Wet Sclerophyll Forests (Grassy sub-formation)
BDCK09,3251,Secondary,465.93,1165.04,16.07,Wet Sclerophyll Forests (Grassy sub-formation)
BDCK14,3251,Primary,315.66,1147.96,16.79,Wet Sclerophyll Forests (Grassy sub-formation)
BRB009A,3251,Secondary,763.01,999.37,13.87,Wet Sclerophyll Forests (Grassy sub-formation)
BRB027A,3251,Primary,787.08,990.69,14.16,Wet Sclerophyll Forests (Grassy sub-formation)
CK09,3251,Primary,750.69,1206.51,14.43,Wet Sclerophyll Forests (Grassy sub-formation)
CK16,3251,Primary,585.59,1028.22,15.56,Wet Sclerophyll Forests (Grassy sub-formation)
DMN1CS,3251,Secondary,514.12,868.35,16.24,Wet Sclerophyll Forests (Grassy sub-formation)
GF061,3251,Primary,803.12,976.91,13.66,Wet Sclerophyll Forests (Grassy sub-formation)
JTHTB31,3251,Secondary,431.88,1011.79,15.96,Wet Sclerophyll Forests (Grassy sub-formation)
NCPP0088,3251,Primary,405.97,1217.38,16.56,Wet Sclerophyll Forests (Grassy sub-formation)
NCPP0089,3251,Primary,432.08,1211.57,16.56,Wet Sclerophyll Forests (Grassy sub-formation)
NCPP0169,3251,Primary,177.48,1145.43,17.8,Wet Sclerophyll Forests (Grassy sub-formation)
NCPP0175,3251,Primary,110.16,1283.82,18.26,Wet Sclerophyll Forests (Grassy sub-formation)
NCPP0188,3251,Primary,358.12,975.53,17.13,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1024,3251,Secondary,265.57,1292.3,16.84,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1025,3251,Primary,284.38,1262.89,17.03,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1032,3251,Primary,495.4,1211.37,14.93,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1037,3251,Primary,299.39,1197.06,16.29,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1038,3251,Primary,308.62,1197.46,16.29,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1039,3251,Primary,354.87,1210.61,16.03,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1040,3251,Primary,356.51,1207.83,16.05,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1041,3251,Primary,348.79,1187.67,16.45,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1042,3251,Primary,363.5,1209.88,16.03,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1043,3251,Primary,365.39,1211.28,15.99,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1044,3251,Primary,391.32,1217.09,15.74,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1053,3251,Primary,441.78,1207.94,15.85,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1054,3251,Primary,463.74,1213.62,15.77,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1057,3251,Primary,437.45,1165.61,15.77,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1103,3251,Primary,363.01,1314.73,16.59,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1346,3251,Primary,426.29,1205.92,15.93,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1348,3251,Primary,331.18,1200.41,16,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1349,3251,Primary,452.64,1203.13,15.94,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1350,3251,Primary,405.69,1186.99,16.39,Wet Sclerophyll Forests (Grassy sub-formation)
NEF1352,3251,Primary,455.11,1182.57,16.46,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2012,3251,Primary,494.83,1350.73,16.18,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2020,3251,Primary,500.32,1222.86,16.55,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2021,3251,Primary,407.55,1163.44,17.08,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2026,3251,Primary,357.23,1241.44,16.65,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2027,3251,Primary,417.31,1218.81,16.8,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2036,3251,Primary,551.92,1049.82,15.8,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2052,3251,Primary,504.48,1018.75,16.14,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2054,3251,Primary,467.29,980.35,16.41,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2055,3251,Primary,527.5,974.65,16.34,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2056,3251,Primary,709.57,1287.85,14.35,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2057,3251,Primary,731.56,1291.69,14.47,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2062,3251,Primary,694.43,1259.34,14.69,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2068,3251,Primary,464.14,1130.62,16.39,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2082,3251,Primary,444.86,1261.58,16.47,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2083,3251,Primary,468.31,1094.18,16.53,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2098,3251,Primary,391.82,2226.99,17.54,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2306,3251,Primary,408.78,1211.29,15.68,Wet Sclerophyll Forests (Grassy sub-formation)
NEF2307,3251,Primary,346.33,1150.91,17.18,Wet Sclerophyll Forests (Grassy sub-formation)
NEF3027,3251,Primary,202.9,990.44,16.34,Wet Sclerophyll Forests (Grassy sub-formation)
NEF4005,3251,Primary,236.63,1424.88,17.06,Wet Sclerophyll Forests (Grassy sub-formation)
NEF4007,3251,Secondary,99.72,1341.46,17.51,Wet Sclerophyll Forests (Grassy sub-formation)
NEF4109,3251,Primary,390.76,1299.33,16.85,Wet Sclerophyll Forests (Grassy sub-formation)
NEF5028,3251,Primary,539.5,1310.72,14.65,Wet Sclerophyll Forests (Grassy sub-formation)
NEF5030,3251,Primary,504.94,1221.18,14.8,Wet Sclerophyll Forests (Grassy sub-formation)
NEF5056,3251,Primary,321.44,1544.71,16.39,Wet Sclerophyll Forests (Grassy sub-formation)
NEF5059,3251,Secondary,228.14,1494.18,16.82,Wet Sclerophyll Forests (Grassy sub-formation)
NEF5089,3251,Primary,501.34,1115,15,Wet Sclerophyll Forests (Grassy sub-formation)
NEF5099,3251,Primary,799.87,1113.06,13.46,Wet Sclerophyll Forests (Grassy sub-formation)
NEF5100,3251,Primary,776.04,1106.06,13.51,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6013,3251,Primary,150.77,1272.31,16.24,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6014,3251,Primary,281.33,1308.1,15.96,Wet Sclerophyll Forests (Grassy sub-formation)
NEF6045,3251,Primary,99.24,1430.59,17,Wet Sclerophyll Forests (Grassy sub-formation)
NWENG049,3251,Primary,276.34,1264.2,15.8,Wet Sclerophyll Forests (Grassy sub-formation)
NWENG069,3251,Primary,228.32,1369.6,16.97,Wet Sclerophyll Forests (Grassy sub-formation)
NWENG091,3251,Primary,135.78,1381.27,17.34,Wet Sclerophyll Forests (Grassy sub-formation)
NWENG106,3251,Primary,228.28,1268.22,17.3,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB11,3251,Primary,499.64,1049.22,15.96,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB12,3251,Primary,624.96,1032.35,15.36,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB16,3251,Primary,263.99,1013.61,16.89,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB22,3251,Primary,407.79,1065.9,14.71,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB23,3251,Primary,454.97,1007.44,15.66,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB29,3251,Primary,675.65,1248.21,13.48,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB32,3251,Primary,493.24,1076.19,16.36,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB52,3251,Primary,307.42,1170.54,15.77,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB6,3251,Primary,564.41,1023.08,15.11,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB62,3251,Primary,113.36,1127.31,17.36,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB7,3251,Primary,624.7,1070.49,14.46,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB78,3251,Primary,743.99,1096.92,13.8,Wet Sclerophyll Forests (Grassy sub-formation)
NY_AB79,3251,Primary,745.14,1098.66,13.77,Wet Sclerophyll Forests (Grassy sub-formation)
